Priority,Tender Agency,Tender Detail,Technology,Capacity MW,State,Winner Group,Winner SPV,Tariff,Expected COD,Months to COD,COD Basis,Confidence,Tender Ref No,Award Date,Source URL,Award URL
1,SECI,"SECI Awards 8.6 GW of ISTS Renewable Energy Projects Across Solar, Hybrid And Storage Tenders - SolarQuarter",Solar + Storage,8600.0,,Renew,,,2028-06-26,21,24 months from award (Solar + Storage),Press report - verify,,2026-06-26,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNVHlsTTB4RHBoOGtOal9nU001Q3FGUXNLVXFmdWdFeWNoZnRnNExuUHBtMnJCcUJaM0c2MGtZZE44dnRNbXBpOC0xOWliZ1NoUHY5YUpGT2ROUVhXc19URmdEeURPNFB6WjZpRmN2cTk5ZFd3dnJiQ2p1bTFsUl9BQ1J1VXdJbVFEMlVtMGxuVVU0Z1c1LUZEUndfSGlOemVkMFlXQ19rU2pPUk8xN09lZkxLUFlGSWh4d01RX1lwUWlNaDgtMUZjcw?oc=5,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNVHlsTTB4RHBoOGtOal9nU001Q3FGUXNLVXFmdWdFeWNoZnRnNExuUHBtMnJCcUJaM0c2MGtZZE44dnRNbXBpOC0xOWliZ1NoUHY5YUpGT2ROUVhXc19URmdEeURPNFB6WjZpRmN2cTk5ZFd3dnJiQ2p1bTFsUl9BQ1J1VXdJbVFEMlVtMGxuVVU0Z1c1LUZEUndfSGlOemVkMFlXQ19rU2pPUk8xN09lZkxLUFlGSWh4d01RX1lwUWlNaDgtMUZjcw?oc=5
2,MSEDCL,"Adani Power Wins MSEDCL's 2,500 MW Renewable RTC Power Supply Contract - energetica-india.net",Round-the-Clock / CfD / Trading,2500.0,,Adani Power; Renew,,,2028-04-07,19,24 months from award (Round-the-Clock / CfD / Trading),Press report - verify,,2026-04-07,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZ1lsbUpQbElWV0w4OUtXSVZyX2dBY1Z0cVhpQzZnaWJFeG43LVJQYUZNbGdsY09TaUpTdWpSdlhUUGttR1QwbzFaeUpXMENuZ0VVM3pUMEl1X3A1Q3FRSjJIaEkzNVpsVkZlYWEya2pRVHdKQXotTkJLNi03REpTZFlHamRKdGhGOEl1UjNCUnlhdUJnMDdPUUtNY3BCQVhZYzJlTnpjMlZBUQ?oc=5,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZ1lsbUpQbElWV0w4OUtXSVZyX2dBY1Z0cVhpQzZnaWJFeG43LVJQYUZNbGdsY09TaUpTdWpSdlhUUGttR1QwbzFaeUpXMENuZ0VVM3pUMEl1X3A1Q3FRSjJIaEkzNVpsVkZlYWEya2pRVHdKQXotTkJLNi03REpTZFlHamRKdGhGOEl1UjNCUnlhdUJnMDdPUUtNY3BCQVhZYzJlTnpjMlZBUQ?oc=5
3,MSEDCL,"Adani Power Secures 2,500 MW RE RTC Supply Deal With MSEDCL - solarquarter.com",Round-the-Clock / CfD / Trading,2500.0,,Adani Power,,,2028-04-06,19,24 months from award (Round-the-Clock / CfD / Trading),Press report - verify,,2026-04-06,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZWNZNXdpMk4xckozclFCY1l3U0hmODZvVUdib3k4Rl9xOVZjeHIwcUI0aHZBcFFqWFhIdjktaFNnMHZ0UVRNRjJYWUV5R0I1U2ZjNDJwVEN0dkJrbU8zWEJFY1lSZTEzSElDRjJpV25QZkN3a0kyTkVXVG40c0FVX1A5ZEF5dW5Ldzd1T19YdmJfemNqYjRkcE5iMA?oc=5,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZWNZNXdpMk4xckozclFCY1l3U0hmODZvVUdib3k4Rl9xOVZjeHIwcUI0aHZBcFFqWFhIdjktaFNnMHZ0UVRNRjJYWUV5R0I1U2ZjNDJwVEN0dkJrbU8zWEJFY1lSZTEzSElDRjJpV25QZkN3a0kyTkVXVG40c0FVX1A5ZEF5dW5Ldzd1T19YdmJfemNqYjRkcE5iMA?oc=5
4,GUVNL,"KP Group, Engie India, Ultimate Flexipack Among Winners in GUVNL’s 2 GW/4 GWh BESS Auction - energetica-india.net",Energy Storage (BESS),2000.0,,Engie,,,2027-05-18,8,18 months from award (Energy Storage (BESS)),Press report - verify,,2025-11-18,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPdUtQbnA2d1dPOUFHeHM5TE1yaTFyMEl1V25jWkJPQkt4TzdKazNGMlFFMHhjTkR0NXJ3VTlxZkJYUEt4OV9UeE5GcU9Zb09Jd1JpZXZTeGVHTEVTZ3ZELWhXU1VqNUhBUkxfZGoybGYtdFZrV2VVeG5zVGFkdHk3RjRTVkRqcHZpVUVpUjg0UUZBOFNOQm1SRm9wZ0YtcjhacXAzZGRfMHBzYUhPaVFLUzRCajRvSkRUUGhjRmZLYWxXQQ?oc=5,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPdUtQbnA2d1dPOUFHeHM5TE1yaTFyMEl1V25jWkJPQkt4TzdKazNGMlFFMHhjTkR0NXJ3VTlxZkJYUEt4OV9UeE5GcU9Zb09Jd1JpZXZTeGVHTEVTZ3ZELWhXU1VqNUhBUkxfZGoybGYtdFZrV2VVeG5zVGFkdHk3RjRTVkRqcHZpVUVpUjg0UUZBOFNOQm1SRm9wZ0YtcjhacXAzZGRfMHBzYUhPaVFLUzRCajRvSkRUUGhjRmZLYWxXQQ?oc=5
5,SECI,"Purvah, SAEL Among Winners of SECI’s 2 GW Solar, 4 GWh Energy Storage Auction - Mercomindia.com",Solar + Storage,2000.0,,SAEL,,,2027-11-08,14,24 months from award (Solar + Storage),Press report - verify,,2025-11-08,https://news.google.com/rss/articles/CBMinwFBVV95cUxNa093ZGg5dFlMSkNKTVZKV2ZfRzEwdkhNN25DVk9Nd2RIUzA5NlhQOVRucHhIbTMtZ2ZKV3ZLdDA2UURISjJDRjlqVDhkVF9iUnhLdjdvcmJJSGx4M0hHQ3gzQVU4QlhGSmh1WmItYUV3MFd5bWllSmhKS0o0UXc0dU16ei0tTXNsUnRLWExiUm9LZUxhMDZZNHdJU2lYNXM?oc=5,https://news.google.com/rss/articles/CBMinwFBVV95cUxNa093ZGg5dFlMSkNKTVZKV2ZfRzEwdkhNN25DVk9Nd2RIUzA5NlhQOVRucHhIbTMtZ2ZKV3ZLdDA2UURISjJDRjlqVDhkVF9iUnhLdjdvcmJJSGx4M0hHQ3gzQVU4QlhGSmh1WmItYUV3MFd5bWllSmhKS0o0UXc0dU16ei0tTXNsUnRLWExiUm9LZUxhMDZZNHdJU2lYNXM?oc=5
6,MPPMCL,Adani Power Secures LoA for total 1600 MW Capacity from MPPMCL - Adani,Unclassified,1600.0,,Adani Power,,,2027-09-11,12,24 months from award (default),Press report - verify,,2025-09-11,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMGo0X0NqWDZDSFJ2bkJlby0zXzlvd29MYlROdk9EMllXaUxRSGlfT0FVUEpvOXhfb2FVV044c3JHaG5COVNIR1RMY0dzbGwtcFJTbFBKU2NucFNpMnF6UzE3TGotWE0xaldyNWRNcmRvc1NwdGowTzFueVZNS0VpUnV0YnNIcFYtWFNYYVc3MlJleldDQlVwM3Zyd2VrMWFVREkxcnpEa2VxLUJD?oc=5,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMGo0X0NqWDZDSFJ2bkJlby0zXzlvd29MYlROdk9EMllXaUxRSGlfT0FVUEpvOXhfb2FVV044c3JHaG5COVNIR1RMY0dzbGwtcFJTbFBKU2NucFNpMnF6UzE3TGotWE0xaldyNWRNcmRvc1NwdGowTzFueVZNS0VpUnV0YnNIcFYtWFNYYVc3MlJleldDQlVwM3Zyd2VrMWFVREkxcnpEa2VxLUJD?oc=5
7,MPPMCL,"Adani Power bags 1,600 MW thermal project from MPPMCL; to invest Rs 21,000 cr - cfo.economictimes.indiatimes.com",Unclassified,1600.0,,Adani Power,,,2027-09-11,12,24 months from award (default),Press report - verify,,2025-09-11,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPZVo1YkROVGIzdmhTUEYyWS1EdkxmOVFJTmZ3NnRKczdyUHNQOXFqMlNzMWNWempZZ05vTFowVUdST1prQnpDVDhxck11WDRRUlhwT1ZxR25Vd01MMjhFdUVBS1ZaYktmRlJxMGQtbHNMbENDY0lTa3N0TnRsN2xwODF0bFprS1pOTHN0N1FvamU5Q09zaThkYW5MdWNBdThrWllMeVFZVDdHSERRNTJuN1J4WUk1aHh6dmpfaFVFTkFOTTRxTnNneW85RlgxejRZZ0t2Z0dMTFRzbVNTQ0t6M01aQTluN3l4SThjaWRsWGJHdW52RnBNWdIB_gFBVV95cUxNSEhlaEdMN0xRU2xxalM4OG5qMmhpc1lTdU10ZUR0VjI0U1ZDM2JOQ0xOWWNiZFZHNnFRSDVfSE1NTkR5OEJsU3lXdGhMMDc3ekhKLTY4YnR0aGUzenNkNFFLbG5TQmFlejdjSVJLZGJiUE5wNFdZVUpRcGNCeG9PWktCT0d2UTIzV1o1TG9YcU1KYk5seXNUQ1VuNkFWNHFVTGwzc01KT19IRHBCNFlKeVhvWUJvb1I5enUzaDFiaFhITEJqRElJZ2xpdnItaW5idVBKbnpsVlJBbDA5WnIzTm1FZ0Ruc3c2Vmd2WUowanBpOWU3SXIyTnJfMkk1dw?oc=5,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPZVo1YkROVGIzdmhTUEYyWS1EdkxmOVFJTmZ3NnRKczdyUHNQOXFqMlNzMWNWempZZ05vTFowVUdST1prQnpDVDhxck11WDRRUlhwT1ZxR25Vd01MMjhFdUVBS1ZaYktmRlJxMGQtbHNMbENDY0lTa3N0TnRsN2xwODF0bFprS1pOTHN0N1FvamU5Q09zaThkYW5MdWNBdThrWllMeVFZVDdHSERRNTJuN1J4WUk1aHh6dmpfaFVFTkFOTTRxTnNneW85RlgxejRZZ0t2Z0dMTFRzbVNTQ0t6M01aQTluN3l4SThjaWRsWGJHdW52RnBNWdIB_gFBVV95cUxNSEhlaEdMN0xRU2xxalM4OG5qMmhpc1lTdU10ZUR0VjI0U1ZDM2JOQ0xOWWNiZFZHNnFRSDVfSE1NTkR5OEJsU3lXdGhMMDc3ekhKLTY4YnR0aGUzenNkNFFLbG5TQmFlejdjSVJLZGJiUE5wNFdZVUpRcGNCeG9PWktCT0d2UTIzV1o1TG9YcU1KYk5seXNUQ1VuNkFWNHFVTGwzc01KT19IRHBCNFlKeVhvWUJvb1I5enUzaDFiaFhITEJqRElJZ2xpdnItaW5idVBKbnpsVlJBbDA5WnIzTm1FZ0Ruc3c2Vmd2WUowanBpOWU3SXIyTnJfMkk1dw?oc=5
8,MPPMCL,"Adani Power bags 1,600 MW thermal project from MPPMCL; to invest ₹21,000 cr - ET EnergyWorld",Unclassified,1600.0,,Adani Power,,,2027-09-12,12,24 months from award (default),Press report - verify,,2025-09-12,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPYUhDYkdXeVlsZ2FnajZGWkJ2bHFSR0VtbWN0a1dyd0RvUVRnVHFjbkZuY05UcFNmNTNpOTJnUFhzX0h4SjkzaDhMT1dzS0pReXVET1V5ZjFUTFhxLUpjQ2U5QnJGZmZmNGhwc1pxcEVsR3ZFbzBLM2xiQWJfQzI1VHZqbmo5WVFxZDZvaDhWODRrMmgxelpIVW5wLUt1Z09fNXVsVlp5S2dQLWgyUTJDeFlCUTdwbjRGWEoxNnR3Tm5PbW1uclc3MmNQamJRX250Q0E5ctIB2gFBVV95cUxOSGtJZzRoWlFZbHFOSk5obWpaTi1NcFdJZkNUZFlybWVHeXdwRHdJQms3Q2xPaHBGOWZQWVFuQVhLUGxMS0FhNlV6cFFrR2hDdk9oZXU0dEJJc1hBYV9wbGxKN041RFgzMnRDbG5JTUFpVndRQWpBX0pob2RFRGZrWG1la1VNcHZNODNvVGhVSG53bUctMzE2Q1R0YUlhQVJLQnFvTlg3UzhKaS1rUC1xQ1dmRUQ4V0g0T3lQYzB5REhEdWdOZHRhbTFHT2RYZW4zTGxKR3FjWVhIUQ?oc=5,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPYUhDYkdXeVlsZ2FnajZGWkJ2bHFSR0VtbWN0a1dyd0RvUVRnVHFjbkZuY05UcFNmNTNpOTJnUFhzX0h4SjkzaDhMT1dzS0pReXVET1V5ZjFUTFhxLUpjQ2U5QnJGZmZmNGhwc1pxcEVsR3ZFbzBLM2xiQWJfQzI1VHZqbmo5WVFxZDZvaDhWODRrMmgxelpIVW5wLUt1Z09fNXVsVlp5S2dQLWgyUTJDeFlCUTdwbjRGWEoxNnR3Tm5PbW1uclc3MmNQamJRX250Q0E5ctIB2gFBVV95cUxOSGtJZzRoWlFZbHFOSk5obWpaTi1NcFdJZkNUZFlybWVHeXdwRHdJQms3Q2xPaHBGOWZQWVFuQVhLUGxMS0FhNlV6cFFrR2hDdk9oZXU0dEJJc1hBYV9wbGxKN041RFgzMnRDbG5JTUFpVndRQWpBX0pob2RFRGZrWG1la1VNcHZNODNvVGhVSG53bUctMzE2Q1R0YUlhQVJLQnFvTlg3UzhKaS1rUC1xQ1dmRUQ4V0g0T3lQYzB5REhEdWdOZHRhbTFHT2RYZW4zTGxKR3FjWVhIUQ?oc=5
9,MSEDCL,Adani Power bags 1600 MW power supply contract from MSEDCL - energy.economictimes.indiatimes.com,Unclassified,1600.0,,Adani Power,,,2028-03-15,18,24 months from award (default),Press report - verify,,2026-03-15,https://news.google.com/rss/articles/CBMitwFBVV95cUxNY2w4ekJKU1BNRmE2YmM1UzZKUGxUbGl2azBuUUVqNkpNamRqSlpMQTdaSVgyX3RqbkxRMnZCVktHdFNwdk9ialpaMDBhNE9zb25fVHl6UmVPV2l5WnNNTVp5RHlqcjBjdVlMQVVRNmkyaWtqbkMxNHZaem9uWkNzMGtGUkEzWkpWdldvRkNKTDJudFJ3MmNaeUswbWNDLWJxT2lXcld6dGEtamRnREFuQ0c3LW9Wb3fSAbwBQVVfeXFMTkdPd2lCNjdnRGkzNUdub3lrMDBfTlp2Z193Smt2TWZGcGI5S1duZmw4U05iWWRFSk15U0VGVm1qYTJzeXgxZ0FzUmttYlBTUGgxY0RWbldkMGZJZVZ3N1Brc1N5Mi0zdzgyMXAyVWtxWktOWmJzRndjOEtYek90UG8ycnNMdDRWMmlNRW1laDBLTkNnRkFFLUptd08tVDAxTDNGTE1TZmpkS01ROVc5ZkUyTHlxY1BfTGZtNFk?oc=5,https://news.google.com/rss/articles/CBMitwFBVV95cUxNY2w4ekJKU1BNRmE2YmM1UzZKUGxUbGl2azBuUUVqNkpNamRqSlpMQTdaSVgyX3RqbkxRMnZCVktHdFNwdk9ialpaMDBhNE9zb25fVHl6UmVPV2l5WnNNTVp5RHlqcjBjdVlMQVVRNmkyaWtqbkMxNHZaem9uWkNzMGtGUkEzWkpWdldvRkNKTDJudFJ3MmNaeUswbWNDLWJxT2lXcld6dGEtamRnREFuQ0c3LW9Wb3fSAbwBQVVfeXFMTkdPd2lCNjdnRGkzNUdub3lrMDBfTlp2Z193Smt2TWZGcGI5S1duZmw4U05iWWRFSk15U0VGVm1qYTJzeXgxZ0FzUmttYlBTUGgxY0RWbldkMGZJZVZ3N1Brc1N5Mi0zdzgyMXAyVWtxWktOWmJzRndjOEtYek90UG8ycnNMdDRWMmlNRW1laDBLTkNnRkFFLUptd08tVDAxTDNGTE1TZmpkS01ROVc5ZkUyTHlxY1BfTGZtNFk?oc=5
10,MSEDCL,"Adani Power Limited Wins 1,600 MW Supply Order From MSEDCL - sarkaritel.com",Unclassified,1600.0,,Adani Power,,,2028-03-16,18,24 months from award (default),Press report - verify,,2026-03-16,https://news.google.com/rss/articles/CBMimAFBVV95cUxPNHZQNXpCaTVRWUNzeDJKRS1rUkxoQzRoQjc1SXNneWlqU0JQU1dWQzUxdTFMYzlLeTFxZXdFS2hYTHBVMEpSN3Z4VkE3bm1YQVZpSjNSTUQtdG5QRVd0djBTNFh2R1A4NjNjMDREQnp0THA5ZEllX2lnWldzaWplekVhd3ZqTkZQcWwzcEFNZ1I3YWhvY1JuaA?oc=5,https://news.google.com/rss/articles/CBMimAFBVV95cUxPNHZQNXpCaTVRWUNzeDJKRS1rUkxoQzRoQjc1SXNneWlqU0JQU1dWQzUxdTFMYzlLeTFxZXdFS2hYTHBVMEpSN3Z4VkE3bm1YQVZpSjNSTUQtdG5QRVd0djBTNFh2R1A4NjNjMDREQnp0THA5ZEllX2lnWldzaWplekVhd3ZqTkZQcWwzcEFNZ1I3YWhvY1JuaA?oc=5
11,MSEDCL,"Adani Power shares jumps 5% after MSEDCL awards 1,600 MW long-term supply contract - The Economic Times",Unclassified,1600.0,,Adani Power,,,2028-03-16,18,24 months from award (default),Press report - verify,,2026-03-16,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOLW1uVVNBRDJCSkhSV2hUbVc0ajMxZWV2QjV2Z3o2YW5TeFI0UXUxclREeWgyODg2c1VBMkQwemV5ZHNCWksxZTBGZFY2NzVxdVBNRHlaNWJMNHphY1lRRHE5ZGVEZktUWjRKSXJvLTRET1RnREtqaFNqdUxxWlZ1YndiX0hvVVJ2TWY3NkZvMVhGWmtXWHpIRGk4YlJWMmhlWk1qZVVRM3BjeDh0TGtvemY0aWd4V0RsRWJOTFpzNWR5OTYyVF9mbEpEYTNjVDYzQWFDUENHNm5jZmtnalRERW96VkRqRUcyR0HSAe8BQVVfeXFMT2NXamVXNXhyUkx4OUtOaTBhM2tON05qRmxoakNTU24wTVlUZVdYaGVWTzhoamlSazc0Z0lJUnhvX2J0QzRYZ0pLam1BaTJTN0JIekF4WVlFLWMyUzBVLVFncUtBNW9JQ1Z4OTk3SjlFNTlkUWdhU1hKcjJ1cFlkeTlnMjREZ18wdmVHRl9aR3FaLXJhU2tULVdKOHdsU3pqX2lxQnZxRVBWN2ZNbUJ1Ymp2Z016X3FEV0NzN3ViUURxSjBneWEyZGp4Um4tVGRWZE1ILUpQXzJJQU8xZ0xYblQ2ckl2SXVPOC1sYm9HMlU?oc=5,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOLW1uVVNBRDJCSkhSV2hUbVc0ajMxZWV2QjV2Z3o2YW5TeFI0UXUxclREeWgyODg2c1VBMkQwemV5ZHNCWksxZTBGZFY2NzVxdVBNRHlaNWJMNHphY1lRRHE5ZGVEZktUWjRKSXJvLTRET1RnREtqaFNqdUxxWlZ1YndiX0hvVVJ2TWY3NkZvMVhGWmtXWHpIRGk4YlJWMmhlWk1qZVVRM3BjeDh0TGtvemY0aWd4V0RsRWJOTFpzNWR5OTYyVF9mbEpEYTNjVDYzQWFDUENHNm5jZmtnalRERW96VkRqRUcyR0HSAe8BQVVfeXFMT2NXamVXNXhyUkx4OUtOaTBhM2tON05qRmxoakNTU24wTVlUZVdYaGVWTzhoamlSazc0Z0lJUnhvX2J0QzRYZ0pLam1BaTJTN0JIekF4WVlFLWMyUzBVLVFncUtBNW9JQ1Z4OTk3SjlFNTlkUWdhU1hKcjJ1cFlkeTlnMjREZ18wdmVHRl9aR3FaLXJhU2tULVdKOHdsU3pqX2lxQnZxRVBWN2ZNbUJ1Ymp2Z016X3FEV0NzN3ViUURxSjBneWEyZGp4Um4tVGRWZE1ILUpQXzJJQU8xZ0xYblQ2ckl2SXVPOC1sYm9HMlU?oc=5
12,MSEDCL,"Adani Power: Company Secures LOA From MSEDCL For 1,600 MW Long-Term Power Agreement - scanx.trade",Unclassified,1600.0,,Adani Power,,,2028-03-15,18,24 months from award (default),Press report - verify,,2026-03-15,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQWm9ydnhLbkZQb1BVZDB0MmRwTXpJOVo2MlMyTmJyUlU5UG9MQmpNWWZnOEtVRzc5bGRmMjFVdlZBZHBGRzhpNHVndVl1ZVJoLTV2V0QxcXFfbUpEZXl2aFM3VmlFREg5ajZrVDc0ZC1tNnZMaVFDVTdxYTZ0d0tpR0hYRDZDSXR5ZERqOEJPQl80YW1tRS0xeVlPTEV1eTItMlRPdDFKWXNtOFgtOUhOWmpKRVRFb01xY2JSNGpZT21mcHhabnZaNg?oc=5,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQWm9ydnhLbkZQb1BVZDB0MmRwTXpJOVo2MlMyTmJyUlU5UG9MQmpNWWZnOEtVRzc5bGRmMjFVdlZBZHBGRzhpNHVndVl1ZVJoLTV2V0QxcXFfbUpEZXl2aFM3VmlFREg5ajZrVDc0ZC1tNnZMaVFDVTdxYTZ0d0tpR0hYRDZDSXR5ZERqOEJPQl80YW1tRS0xeVlPTEV1eTItMlRPdDFKWXNtOFgtOUhOWmpKRVRFb01xY2JSNGpZT21mcHhabnZaNg?oc=5
13,SJVN,"Reliance, Sembcorp, BluPine, and ACME Win SJVN’s 1.5 GW FDRE Auction - Energetica India Magazine",Unclassified,1500.0,,Sembcorp; BluPine,,,2027-10-11,13,24 months from award (default),Press report - verify,,2025-10-11,https://news.google.com/rss/articles/CBMiowFBVV95cUxQanVOemVxR1ZQMGZXRm9aLUVqdEdpTWlOamxsRE5CZGZsZjdjdEhtOHFkbkc4eFJQT2ZHNzZOcTFJQW1VSFNyS3FZaU5YOHBuYnVGTktIck1rZ2M5Ri1WR3F4NkVkVlRDVlR1WnVlbTlpblU5S0xIMUtLT05CUC1wQ3dnMGRlNXFGdXA4bFBiVXp6cnEzLWRfb01CM29HcXVza0Vv?oc=5,https://news.google.com/rss/articles/CBMiowFBVV95cUxQanVOemVxR1ZQMGZXRm9aLUVqdEdpTWlOamxsRE5CZGZsZjdjdEhtOHFkbkc4eFJQT2ZHNzZOcTFJQW1VSFNyS3FZaU5YOHBuYnVGTktIck1rZ2M5Ri1WR3F4NkVkVlRDVlR1WnVlbTlpblU5S0xIMUtLT05CUC1wQ3dnMGRlNXFGdXA4bFBiVXp6cnEzLWRfb01CM29HcXVza0Vv?oc=5
14,SECI,"Waaree Energies, NTPC REL And ACME Solar Win SECI’s 1500 MW/6000 MWh FDRE-lX Tender At ₹5.99–₹6/kWh - SolarQuarter",Solar,1500.0,,Waaree; ACME Solar,,,2028-08-24,23,24 months from award (Solar),Press report - verify,,2026-08-24,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5
15,SECI,RfS for Setting up of 1500 MW/12000 MWh Pumped Storage Plants in India (PSP-I),Pumped Storage,1500.0,,Greenko; Torrent; Tata Power,,,2031-07-21,58,60 months from award (Pumped Storage),Press report - verify,SECI/C&P/IPP/15/0017/25-26,2026-07-21,https://www.seci.co.in/tender-details/YmF3,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNcUFUdkw3Vm5vYUd3d1N3Q1FMZ3M3eDZRRHJGNzEwNExtaHdJLWRXVndXN1V2Ukc4d3hUbEtoT0RqUmpRRWVqbXM0REtHcTlsM29xekcxTWtnWVpXMnFIZmNXLTlnVTZ0WGRLYVNiOWtLYWZidHU1Y0U4ZnpXSkQtU0thZG9IelVKd01TU0c2WUdRNlZQMmJSUnN3aFhmemtVWUhlRHozWUFlZERMVlFhVXJpaVhWaWpkb2NuVURBZzhTRWU0S3puWFNyc2xpalRCc0pJ?oc=5
16,SECI,RfS for Setting up of 1500 MW/12000 MWh Pumped Storage Plants in India (PSP-I),Pumped Storage,1500.0,,Greenko; Torrent; Tata Power,,,2031-07-21,58,60 months from award (Pumped Storage),Press report - verify,SECI/C&P/IPP/15/0017/25-26,2026-07-21,https://www.seci.co.in/tender-details/YmF3,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNcUFUdkw3Vm5vYUd3d1N3Q1FMZ3M3eDZRRHJGNzEwNExtaHdJLWRXVndXN1V2Ukc4d3hUbEtoT0RqUmpRRWVqbXM0REtHcTlsM29xekcxTWtnWVpXMnFIZmNXLTlnVTZ0WGRLYVNiOWtLYWZidHU1Y0U4ZnpXSkQtU0thZG9IelVKd01TU0c2WUdRNlZQMmJSUnN3aFhmemtVWUhlRHozWUFlZERMVlFhVXJpaVhWaWpkb2NuVURBZzhTRWU0S3puWFNyc2xpalRCc0pJ?oc=5
17,SECI,"Greenko, Torrent & Tata Power Wins SECI 1500 MW/12000 MWh Pumped Storage Tender in India - Saur Energy",Pumped Storage,1500.0,,Greenko; Torrent; Tata Power,,,2031-07-21,58,60 months from award (Pumped Storage),Press report - verify,,2026-07-21,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNcUFUdkw3Vm5vYUd3d1N3Q1FMZ3M3eDZRRHJGNzEwNExtaHdJLWRXVndXN1V2Ukc4d3hUbEtoT0RqUmpRRWVqbXM0REtHcTlsM29xekcxTWtnWVpXMnFIZmNXLTlnVTZ0WGRLYVNiOWtLYWZidHU1Y0U4ZnpXSkQtU0thZG9IelVKd01TU0c2WUdRNlZQMmJSUnN3aFhmemtVWUhlRHozWUFlZERMVlFhVXJpaVhWaWpkb2NuVURBZzhTRWU0S3puWFNyc2xpalRCc0pJ?oc=5,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNcUFUdkw3Vm5vYUd3d1N3Q1FMZ3M3eDZRRHJGNzEwNExtaHdJLWRXVndXN1V2Ukc4d3hUbEtoT0RqUmpRRWVqbXM0REtHcTlsM29xekcxTWtnWVpXMnFIZmNXLTlnVTZ0WGRLYVNiOWtLYWZidHU1Y0U4ZnpXSkQtU0thZG9IelVKd01TU0c2WUdRNlZQMmJSUnN3aFhmemtVWUhlRHozWUFlZERMVlFhVXJpaVhWaWpkb2NuVURBZzhTRWU0S3puWFNyc2xpalRCc0pJ?oc=5
